"","rhoT","mort","EE_bTB_single","EE_bTB_co","EE_brucellosis_single","EE_brucellosis_co"
"1",0,0,0.658551113771642,0.826080826036644,0.210718552610404,0.743843247701265
"2",0.08,0,0.658551113771642,0.848707326015519,0.210718552610404,0.750612933428471
"3",0.16,0,0.658551113771642,0.863013166689426,0.210718552610404,0.755148919021104
"4",0.24,0,0.658551113771642,0.872587574936414,0.210718552610404,0.758369301848111
"5",0.32,0,0.658551113771642,0.879338455831889,0.210718552610404,0.76076917059944
"6",0.4,0,0.658551113771642,0.884313708277483,0.210718552610404,0.7626286105709
"7",0.48,0,0.658551113771642,0.888116531614758,0.210718552610404,0.764114775856092
"8",0.56,0,0.658551113771642,0.891111317129612,0.210718552610404,0.765332571548581
"9",0.64,0,0.658551113771642,0.89352833695143,0.210718552610404,0.766350844931842
"10",0.72,0,0.658551113771642,0.895519104779991,0.210718552610404,0.767216565721324
"11",0.8,0,0.658551113771642,0.897186917259463,0.210718552610404,0.767962865099846
"12",0.88,0,0.658551113771642,0.898604414236317,0.210718552610404,0.76861379261726
"13",0.96,0,0.658551113771642,0.899824073489949,0.210718552610404,0.769187242370656
"14",1.04,0,0.658551113771642,0.900884708886787,0.210718552610404,0.769696816405521
"15",1.12,0,0.658551113771642,0.90181562491646,0.210718552610404,0.770153048983924
"16",1.2,0,0.658551113771642,0.902639350476193,0.210718552610404,0.770564233054808
"17",1.28,0,0.658551113771642,0.903373484836937,0.210718552610404,0.770936992176464
"18",1.36,0,0.658551113771642,0.904031973320528,0.210718552610404,0.771276684949986
"19",1.44,0,0.658551113771642,0.904626007396197,0.210718552610404,0.771587696582583
"20",1.52,0,0.658551113771642,0.905164671775229,0.210718552610404,0.771873652913001
"21",1.6,0,0.658551113771642,0.905655417549967,0.210718552610404,0.772137579981495
"22",1.68,0,0.658551113771642,0.906104413482143,0.210718552610404,0.772382024635756
"23",1.76,0,0.658551113771642,0.906516810481691,0.210718552610404,0.772609147001971
"24",1.84,0,0.658551113771642,0.906896943277096,0.210718552610404,0.772820792146301
"25",1.92,0,0.658551113771642,0.907248485995216,0.210718552610404,0.773018546254008
"26",2,0,0.658551113771642,0.907574573476353,0.210718552610404,0.773203781096154
"27",2.08,0,0.658551113771642,0.907877896809428,0.210718552610404,0.773377689572685
"28",2.16,0,0.658551113771642,0.908160779255522,0.210718552610404,0.773541314333245
"29",2.24,0,0.658551113771642,0.908425237098527,0.210718552610404,0.773695571044404
"30",2.32,0,0.658551113771642,0.90867302880068,0.210718552610404,0.773841267408586
"31",2.4,0,0.658551113771642,0.908905695002922,0.210718552610404,0.773979118852859
