"","rhoT","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"42",3.28,0,0.910764970450791,0.775120357167638,NA,0.619275518922828,0.995332538755326,0.0405428702754322,0.847092870248115
"43",3.36,0,0.910888908991106,0.775199144130981,NA,0.619328023603088,0.995438972119248,0.03967749546646,0.847154281498666
"44",3.44,0,0.911007471934086,0.775274856104445,NA,0.619378114328938,0.995540652438982,0.0388484304674084,0.847213288412635
"45",3.52,0,0.911121004261693,0.775347673541349,NA,0.61942595329596,0.995637891397786,0.0380534312788539,0.847270032382179
"46",3.6,0,0.911229821457073,0.775417762218492,NA,0.619471687690405,0.995730973951709,0.0372904355894389,0.847324643478701
"47",3.68,0,0.911334213878283,0.775485276377891,NA,0.619515453769735,0.995820161283415,0.0365575440553398,0.847377242328231
"48",3.76,0,0.911434447705864,0.775550357743175,NA,0.619557375012454,0.995905693054319,0.0358530053071608,0.847427940068379
"49",3.84,0,0.911530768123454,0.775613137713887,NA,0.619597564867257,0.995987789659822,0.0351752014243326,0.847476839704602
"50",3.92,0,0.911623401378066,0.775673738308829,NA,0.619636127824309,0.996066654130853,0.0345226354256397,0.847524036840763
"51",4,0,0.911712556843387,0.775732273323337,NA,0.619673160812299,0.996142473839529,0.0338939200284447,0.847569620474374
"52",4.08,0,0.911798427566566,0.775788847779232,NA,0.619708751859905,0.996215421867852,0.0332877683182481,0.847613673049837
"53",4.16,0,0.911881193562548,0.775843560975932,NA,0.619742984425242,0.996285658530607,0.0327029839463412,0.847656272023575
"54",4.24,0,0.911961020546301,0.775896503755094,NA,0.619775933198937,0.996353332289254,0.0321384544060074,0.847697488830029
"55",4.32,0,0.912038063478541,0.775947762271908,NA,0.619807669133786,0.996418581045086,0.0315931428265685,0.847737390804934
"56",4.4,0,0.912112466680987,0.775997417277749,NA,0.619838258257663,0.996481532984842,0.031066081996286,0.84777604101278
"57",4.48,0,0.912184364209015,0.776045543723937,NA,0.619867761255935,0.99654230737905,0.0305563687592241,0.847813498145728
"58",4.56,0,0.912253880999303,0.776092211766041,NA,0.619896234230619,0.996601015358893,0.0300631587803291,0.847849817214158
"59",4.64,0,0.912321134352054,0.776137487999837,NA,0.619923730633078,0.996657760672659,0.0295856614549814,0.847885050162084
"60",4.72,0,0.912386233084638,0.776181433847269,NA,0.619950298593391,0.996712640152814,0.029123136347116,0.847919245287145
"61",4.8,0,0.912449279882586,0.776224108164359,NA,0.619975984564216,0.996765744431402,0.0286748885782265,0.847952448512657
"62",4.88,0,0.912510370919997,0.776265566232246,NA,0.620000831888509,0.996817158356833,0.0282402656902504,0.847984702992188
"63",4.96,0,0.912569596150623,0.776305859742375,NA,0.62002488062438,0.996866961429138,0.0278186545443484,0.848016049192685
"64",5.04,0,0.912627040332377,0.77634503780863,NA,0.620048168830417,0.996915228260352,0.027409478195068,0.848046525439254
"65",5.12,0,0.91268278264127,0.776383146200375,NA,0.620070731098227,0.996962028874445,0.0270121936070642,0.848076167690874
"66",5.2,0,0.912736897876722,0.776420228422293,NA,0.620092600652526,0.997007429132532,0.0266262887744583,0.848105009961323
"67",5.28,0,0.912789457403791,0.776456326976677,NA,0.620113810263453,0.997051491072807,0.0262512804474381,0.84813308511137
"68",5.36,0,0.912840526862625,0.776491479828749,NA,0.620134387681927,0.997094272992262,0.0258867129756536,0.84816042318534
"69",5.44,0,0.912890169031974,0.77652572387247,NA,0.620154360945431,0.99713582992587,0.0255321553881063,0.848187052943543
"70",5.52,0,0.912938443278384,0.776559094567001,NA,0.620173756063228,0.997176213781398,0.0251872003182748,0.848213002091427
"71",5.6,0,0.912985405944113,0.776591625526851,NA,0.620192598510378,0.997215473609115,0.0248514619838451,0.848238296700699
"72",5.68,0,0.913031109616328,0.776623347896966,NA,0.620210910684841,0.997253655696849,0.0245245753715146,0.848262961286423
"73",5.76,0,0.913075604478948,0.776654291715591,NA,0.620228714657829,0.99729080385872,0.0242061943325768,0.848287019285077
"74",5.84,0,0.91311893815852,0.776684485700463,NA,0.620246031386357,0.997326959567936,0.0238959905557069,0.848310493077031
"75",5.92,0,0.913161155385549,0.776713956562711,NA,0.620262879934276,0.997362162078596,0.0235936525618397,0.848333403655275
"76",6,0,0.913202299291336,0.77674273064703,NA,0.620279279727655,0.997396448651366,0.0232988842723549,0.848355771403896
"77",6.08,0,0.913242410358742,0.776770832528139,NA,0.620295248101551,0.997429854589982,0.0230114045135791,0.848377615570802
"78",6.16,0,0.913281526997453,0.776798285383044,NA,0.620310801659466,0.997462413410927,0.0227309458198672,0.848398954284118
"79",6.24,0,0.913319685906511,0.776825111670317,NA,0.620325956353919,0.997494156957786,0.0224572536619599,0.84841980505448
"80",6.32,0,0.913356921889644,0.776851332692335,NA,0.620340727096038,0.99752511548873,0.022190085726071,0.848440184542802
"81",6.4,0,0.913393268258586,0.776876969002517,NA,0.620355128460156,0.997555317796031,0.0219292110740808,0.848460108731963
"82",6.48,0,0.91342875656575,0.776902039989878,NA,0.620369173971605,0.997584791268688,0.0216744096067272,0.848479592774604
"83",6.56,0,0.913463416988808,0.776926564259484,NA,0.620382876818893,0.997613561998593,0.0214254713178547,0.848498651141635
"84",6.64,0,0.913497278018021,0.776950559380035,NA,0.620396248743456,0.997641654819801,0.0211821959469464,0.848517297670347
"85",6.72,0,0.913530367309848,0.776974042692782,NA,0.620409302024296,0.997669093444964,0.0209443920699301,0.848535545770926
"86",6.8,0,0.913562710938248,0.7769970303654,NA,0.620422047702026,0.997695900471278,0.0207118769100265,0.848553408093641
"87",6.88,0,0.91359433381165,0.777019537832701,NA,0.620434496395223,0.997722097469093,0.0204844757279591,0.848570896698158
"88",6.96,0,0.913625259942166,0.777041580315106,NA,0.620446658416148,0.997747705043702,0.0202620214081766,0.848588023422213
"89",7.04,0,0.913655512197746,0.777063172182658,NA,0.620458543578122,0.997772742880704,0.0200443540339293,0.848604799455818
"90",7.12,0,0.913685112523485,0.777084327177414,NA,0.620470161596027,0.997797229808168,0.0198313204418146,0.848621235431412
"91",7.2,0,0.913714081235802,0.777105057882091,NA,0.620481519887667,0.997821183777266,0.0196227742733941,0.848637341482645
"92",7.28,0,0.913742439266025,0.777125378033994,NA,0.620492628995005,0.997844622070943,0.0194185747159056,0.84865312786496
"93",7.36,0,0.913770204944768,0.777145298714248,NA,0.62050349525074,0.99786756112005,0.0192185873721112,0.848668603624226
"94",7.44,0,0.913797397161004,0.777164832299167,NA,0.62051412741949,0.997890016745136,0.0190226829401329,0.848683778183387
"95",7.52,0,0.913824033461451,0.777183989892061,NA,0.620524532811109,0.997912004072678,0.0188307375113552,0.848698660231837
"96",7.6,0,0.913850130673245,0.777202782105194,NA,0.620534718503328,0.997933537606136,0.0186426321267554,0.848713258061445
"97",7.68,0,0.913875705187231,0.777221219629473,NA,0.620544691517042,0.997954631263707,0.0184582525438298,0.848727579957661
"98",7.76,0,0.913900772246884,0.777239311960551,NA,0.620554457789865,0.997975298376359,0.0182774891012599,0.848741633467102
"99",7.84,0,0.913925347209842,0.77725706921039,NA,0.620564024441717,0.99799555178202,0.0181002362111134,0.848755426284281
"100",7.92,0,0.913949444254351,0.777274500395646,NA,0.620573397050598,0.998015403773344,0.0179263925397584,0.848768965539411
"101",8,0,0.913973077308211,0.77729161455903,NA,0.620582581639953,0.998034866178881,0.0177558605242051,0.848782258229237
"102",0,0.15,0.807931322467023,0.730891651760715,NA,0.561149220354783,0.898794480794882,0.385124061087106,0.813090623415455
"103",0.08,0.15,0.83307452453634,0.738149198973759,NA,0.573557247034762,0.925135597133065,0.331052518223363,0.81972030094901
"104",0.16,0.15,0.849143350329345,0.743020640826409,NA,0.581503113382921,0.941708768839204,0.287104267701897,0.82401758504423
"105",0.24,0.15,0.859964808936437,0.746478447108719,NA,0.586867530108776,0.952715037006569,0.252059539311856,0.826988772065387
"106",0.32,0.15,0.867622280655806,0.749052754141928,NA,0.590667025849627,0.960407679327957,0.224031181298372,0.829158071823486
