"","rhoB","mort","EE_bTB_single","EE_bTB_co","EE_brucellosis_single","EE_brucellosis_co"
"1",0,0,0.658551113771642,0.658551110721686,0.210718552610404,2.49340531074066e-10
"2",0.08,0,0.658551113771642,0.658551224630709,0.210718552610404,2.33137879046096e-07
"3",0.16,0,0.658551113771642,0.658648262298103,0.210718552610404,0.000209623635748702
"4",0.24,0,0.658551113771642,0.671331598565134,0.210718552610404,0.0291604575897207
"5",0.32,0,0.658551113771642,0.707891548395973,0.210718552610404,0.116885545948069
"6",0.4,0,0.658551113771642,0.739879935330413,0.210718552610404,0.200032267135319
"7",0.48,0,0.658551113771642,0.7662413031348,0.210718552610404,0.274342771611931
"8",0.56,0,0.658551113771642,0.787732390645365,0.210718552610404,0.339539713125222
"9",0.64,0,0.658551113771642,0.80525179346437,0.210718552610404,0.396171024745499
"10",0.72,0,0.658551113771642,0.819620715715243,0.210718552610404,0.445181753787604
"11",0.8,0,0.658551113771642,0.831513315089191,0.210718552610404,0.487616741184635
"12",0.88,0,0.658551113771642,0.841457319346393,0.210718552610404,0.524465228793616
"13",0.96,0,0.658551113771642,0.84985802973244,0.210718552610404,0.556598661802714
"14",1.04,0,0.658551113771642,0.857025339668011,0.210718552610404,0.584757430675179
"15",1.12,0,0.658551113771642,0.863196948603164,0.210718552610404,0.609559384857442
"16",1.2,0,0.658551113771642,0.868556480586638,0.210718552610404,0.63151602951101
"17",1.28,0,0.658551113771642,0.87324706837414,0.210718552610404,0.651049884047222
"18",1.36,0,0.658551113771642,0.877381377054571,0.210718552610404,0.66851034611778
"19",1.44,0,0.658551113771642,0.881048972122887,0.210718552610404,0.684187226140986
"20",1.52,0,0.658551113771642,0.884321749401259,0.210718552610404,0.698321909300244
"21",1.6,0,0.658551113771642,0.88725796071167,0.210718552610404,0.711116404199175
"22",1.68,0,0.658551113771642,0.889905221879597,0.210718552610404,0.72274061883446
"23",1.76,0,0.658551113771642,0.892302779989016,0.210718552610404,0.73333819436024
"24",1.84,0,0.658551113771642,0.894483237849491,0.210718552610404,0.743031183357166
"25",1.92,0,0.658551113771642,0.896473877585067,0.210718552610404,0.751923810076505
"26",2,0,0.658551113771642,0.898297685625095,0.210718552610404,0.76010550253907
"27",2.08,0,0.658551113771642,0.899974153340129,0.210718552610404,0.767653347897211
"28",2.16,0,0.658551113771642,0.901519907633145,0.210718552610404,0.77463408946019
"29",2.24,0,0.658551113771642,0.902949211548421,0.210718552610404,0.781105758702997
"30",2.32,0,0.658551113771642,0.904274364697258,0.210718552610404,0.787119015418969
"31",2.4,0,0.658551113771642,0.905506025850814,0.210718552610404,0.792718253490038
"32",2.48,0,0.658551113771642,0.906653474600486,0.210718552610404,0.79794251755695
"33",2.56,0,0.658551113771642,0.907724824967421,0.210718552610404,0.802826266506158
"34",2.64,0,0.658551113771642,0.908727200854027,0.210718552610404,0.807400012214295
"35",2.72,0,0.658551113771642,0.909666880991867,0.210718552610404,0.811690856313968
"36",2.8,0,0.658551113771642,0.910549419349628,0.210718552610404,0.815722943151288
"37",2.88,0,0.658551113771642,0.911379745678988,0.210718552610404,0.819517843507609
"38",2.96,0,0.658551113771642,0.912162249893244,0.210718552610404,0.823094881107492
"39",3.04,0,0.658551113771642,0.912900853212091,0.210718552610404,0.826471411347317
"40",3.12,0,0.658551113771642,0.913599068418141,0.210718552610404,0.829663060161411
"41",3.2,0,0.658551113771642,0.91426005110998,0.210718552610404,0.832683929447269
"42",3.28,0,0.658551113771642,0.914886643474338,0.210718552610404,0.835546774260081
"43",3.36,0,0.658551113771642,0.915481411816155,0.210718552610404,0.838263156380764
"44",3.44,0,0.658551113771642,0.916046678852799,0.210718552610404,0.840843577344953
"45",3.52,0,0.658551113771642,0.916584551605055,0.210718552610404,0.843297594578532
"46",3.6,0,0.658551113771642,0.91709694556381,0.210718552610404,0.845633922635178
"47",3.68,0,0.658551113771642,0.917585605699899,0.210718552610404,0.847860522035015
"48",3.76,0,0.658551113771642,0.918052124783789,0.210718552610404,0.849984677102964
"49",3.84,0,0.658551113771642,0.918497959408443,0.210718552610404,0.852013064563233
"50",3.92,0,0.658551113771642,0.918924444043163,0.210718552610404,0.853951814109269
"51",4,0,0.658551113771642,0.919332803393058,0.210718552610404,0.855806561912686
"52",4.08,0,0.658551113771642,0.919724163297705,0.210718552610404,0.857582498096345
"53",4.16,0,0.658551113771642,0.920099560365654,0.210718552610404,0.859284408924663
"54",4.24,0,0.658551113771642,0.920459950511588,0.210718552610404,0.860916714338389
"55",4.32,0,0.658551113771642,0.920806216539256,0.210718552610404,0.862483501451627
"56",4.4,0,0.658551113771642,0.921139174891603,0.210718552610404,0.863988554555782
"57",4.48,0,0.658551113771642,0.921459581671839,0.210718552610404,0.865435381869776
"58",4.56,0,0.658551113771642,0.921768138027926,0.210718552610404,0.866827239659598
"59",4.64,0,0.658551113771642,0.922065494972513,0.210718552610404,0.868167153859197
"60",4.72,0,0.658551113771642,0.922352257711478,0.210718552610404,0.869457939554451
"61",4.8,0,0.658551113771642,0.922628989534044,0.210718552610404,0.870702218546645
"62",4.88,0,0.658551113771642,0.922896215317551,0.210718552610404,0.871902435226605
"63",4.96,0,0.658551113771642,0.923154424689456,0.210718552610404,0.873060870952141
"64",5.04,0,0.658551113771642,0.923404074885236,0.210718552610404,0.87417965704123
"65",5.12,0,0.658551113771642,0.923645593335541,0.210718552610404,0.875260786581439
"66",5.2,0,0.658551113771642,0.923879380012027,0.210718552610404,0.87630612519837
"67",5.28,0,0.658551113771642,0.924105809557257,0.210718552610404,0.877317420778303
"68",5.36,0,0.658551113771642,0.924325233221502,0.210718552610404,0.878296312321161
"69",5.44,0,0.658551113771642,0.924537980627178,0.210718552610404,0.879244338170307
"70",5.52,0,0.658551113771642,0.924744361377195,0.210718552610404,0.880162943360586
"71",5.6,0,0.658551113771642,0.924944666523851,0.210718552610404,0.881053486404801
"72",5.68,0,0.658551113771642,0.925139169911848,0.210718552610404,0.881917245502603
"73",5.76,0,0.658551113771642,0.925328129407854,0.210718552610404,0.882755424250244
"74",5.84,0,0.658551113771642,0.925511788027512,0.210718552610404,0.883569156881673
"75",5.92,0,0.658551113771642,0.925690374969212,0.210718552610404,0.884359512998373
"76",6,0,0.658551113771642,0.92586410656461,0.210718552610404,0.885127502077257
"77",6.08,0,0.658551113771642,0.926033187152025,0.210718552610404,0.885874077453953
"78",6.16,0,0.658551113771642,0.926197809881278,0.210718552610404,0.886600140130399
"79",6.24,0,0.658551113771642,0.926358157455076,0.210718552610404,0.887306542199051
"80",6.32,0,0.658551113771642,0.926514402813305,0.210718552610404,0.887994090057425
"81",6.4,0,0.658551113771642,0.926666709764743,0.210718552610404,0.888663547326156
"82",6.48,0,0.658551113771642,0.926815233571468,0.210718552610404,0.889315637625614
"83",6.56,0,0.658551113771642,0.926960121489215,0.210718552610404,0.889951047071104
"84",6.64,0,0.658551113771642,0.927101513267855,0.210718552610404,0.890570426585406
"85",6.72,0,0.658551113771642,0.927239541615837,0.210718552610404,0.891174394135181
"86",6.8,0,0.658551113771642,0.92737433263062,0.210718552610404,0.891763536715343
"87",6.88,0,0.658551113771642,0.927506006198514,0.210718552610404,0.892338412218192
"88",6.96,0,0.658551113771642,0.927634676366377,0.210718552610404,0.892899551186136
"89",7.04,0,0.658551113771642,0.927760451687278,0.210718552610404,0.8934474584312
"90",7.12,0,0.658551113771642,0.927883435542127,0.210718552610404,0.893982614515725
"91",7.2,0,0.658551113771642,0.928003726439989,0.210718552610404,0.894505477254
"92",7.28,0,0.658551113771642,0.928121418296836,0.210718552610404,0.895016482895123
"93",7.36,0,0.658551113771642,0.928236600696504,0.210718552610404,0.895516047379016
"94",7.44,0,0.658551113771642,0.928349359134678,0.210718552610404,0.896004567571846
"95",7.52,0,0.658551113771642,0.928459775245809,0.210718552610404,0.896482422233959
"96",7.6,0,0.658551113771642,0.928567927016059,0.210718552610404,0.896949973062882
"97",7.68,0,0.658551113771642,0.928673888982223,0.210718552610404,0.89740756561359
"98",7.76,0,0.658551113771642,0.928777732418092,0.210718552610404,0.897855530181873
"99",7.84,0,0.658551113771642,0.928879525508989,0.210718552610404,0.898294182622868
"100",7.92,0,0.658551113771642,0.928979333515402,0.210718552610404,0.898723825119776
"101",8,0,0.658551113771642,0.929077218926368,0.210718552610404,0.899144746885641
"102",0,0.15,0.658551113771642,0.658551110614048,0.210718552610404,3.89692114909115e-11
"103",0.08,0.15,0.658551113771642,0.658551124706966,0.210718552610404,2.98859462959016e-08
"104",0.16,0.15,0.658551113771642,0.658565258171553,0.210718552610404,3.15747543582381e-05
"105",0.24,0.15,0.658551113771642,0.66353282398643,0.210718552610404,0.0118219302478938
"106",0.32,0.15,0.658551113771642,0.696070027186451,0.210718552610404,0.0922486411993166
"107",0.4,0.15,0.658551113771642,0.727823928201116,0.210718552610404,0.176063754079902
"108",0.48,0.15,0.658551113771642,0.754293175440623,0.210718552610404,0.251296140174312
"109",0.56,0.15,0.658551113771642,0.776049099379056,0.210718552610404,0.317568286704085
"110",0.64,0.15,0.658551113771642,0.79388451068531,0.210718552610404,0.375323990074928
"111",0.72,0.15,0.658551113771642,0.808568286988118,0.210718552610404,0.425432960635843
"112",0.8,0.15,0.658551113771642,0.820752453496478,0.210718552610404,0.46889750627122
"113",0.88,0.15,0.658551113771642,0.83095762642582,0.210718552610404,0.506688152215843
"114",0.96,0.15,0.658551113771642,0.839588799885797,0.210718552610404,0.539671981027307
"115",1.04,0.15,0.658551113771642,0.846958308757619,0.210718552610404,0.568592672245884
"116",1.12,0.15,0.658551113771642,0.853307156502204,0.210718552610404,0.594074934239598
"117",1.2,0.15,0.658551113771642,0.858822308268411,0.210718552610404,0.616638415301018
"118",1.28,0.15,0.658551113771642,0.863649948683147,0.210718552610404,0.636713864889965
"119",1.36,0.15,0.658551113771642,0.867905406185674,0.210718552610404,0.654658419479918
"120",1.44,0.15,0.658551113771642,0.871680519941772,0.210718552610404,0.670768896509217
"121",1.52,0.15,0.658551113771642,0.87504910683289,0.210718552610404,0.685292893016434
"122",1.6,0.15,0.658551113771642,0.878071035328983,0.210718552610404,0.698437858666092
"123",1.68,0.15,0.658551113771642,0.880795281186659,0.210718552610404,0.710378435750791
"124",1.76,0.15,0.658551113771642,0.883262237424326,0.210718552610404,0.721262370994051
"125",1.84,0.15,0.658551113771642,0.885505475306991,0.210718552610404,0.731215272960515
"126",1.92,0.15,0.658551113771642,0.887553098409115,0.210718552610404,0.740344446297322
"127",2,0.15,0.658551113771642,0.889428792721291,0.210718552610404,0.748741990253751
"128",2.08,0.15,0.658551113771642,0.891152647862652,0.210718552610404,0.75648731209768
"129",2.16,0.15,0.658551113771642,0.892741804496657,0.210718552610404,0.763649174392777
"130",2.24,0.15,0.658551113771642,0.894210968701124,0.210718552610404,0.770287369848248
"131",2.32,0.15,0.658551113771642,0.895572823673171,0.210718552610404,0.776454098235324
"132",2.4,0.15,0.658551113771642,0.89683836159142,0.210718552610404,0.782195103088132
"133",2.48,0.15,0.658551113771642,0.898017152922999,0.210718552610404,0.787550614878531
"134",2.56,0.15,0.658551113771642,0.899117566363958,0.210718552610404,0.792556136921526
"135",2.64,0.15,0.658551113771642,0.900146949554039,0.210718552610404,0.797243103211094
"136",2.72,0.15,0.658551113771642,0.90111177841807,0.210718552610404,0.801639431426405
"137",2.8,0.15,0.658551113771642,0.902017781256269,0.210718552610404,0.805769989682985
"138",2.88,0.15,0.658551113771642,0.902870042390554,0.210718552610404,0.809656992274679
"139",2.96,0.15,0.658551113771642,0.903673089161616,0.210718552610404,0.813320336204872
"140",3.04,0.15,0.658551113771642,0.904430965295876,0.210718552610404,0.816777888686877
"141",3.12,0.15,0.658551113771642,0.905147293054183,0.210718552610404,0.820045733536401
"142",3.2,0.15,0.658551113771642,0.905825326102022,0.210718552610404,0.823138383075513
"143",3.28,0.15,0.658551113771642,0.90646799466909,0.210718552610404,0.826068960978823
"144",3.36,0.15,0.658551113771642,0.907077944272399,0.210718552610404,0.828849360591729
"145",3.44,0.15,0.658551113771642,0.907657569042608,0.210718552610404,0.831490382362671
"146",3.52,0.15,0.658551113771642,0.908209040507342,0.210718552610404,0.834001853560211
"147",3.6,0.15,0.658551113771642,0.908734332534344,0.210718552610404,0.836392732798553
"148",3.68,0.15,0.658551113771642,0.909235243016806,0.210718552610404,0.838671201594759
"149",3.76,0.15,0.658551113771642,0.909713412784875,0.210718552610404,0.840844744821223
"150",3.84,0.15,0.658551113771642,0.910170342145945,0.210718552610404,0.842920221404021
"151",3.92,0.15,0.658551113771642,0.91060740539313,0.210718552610404,0.844903926792431
"152",4,0.15,0.658551113771642,0.911025863565675,0.210718552610404,0.846801648207785
"153",4.08,0.15,0.658551113771642,0.911426875701114,0.210718552610404,0.848618713599158
"154",4.16,0.15,0.658551113771642,0.911811508782465,0.210718552610404,0.850360035145673
"155",4.24,0.15,0.658551113771642,0.912180746552975,0.210718552610404,0.852030147992041
"156",4.32,0.15,0.658551113771642,0.912535497345308,0.210718552610404,0.853633244791887
"157",4.4,0.15,0.658551113771642,0.912876601051064,0.210718552610404,0.855173206605377
"158",4.48,0.15,0.658551113771642,0.913204835337809,0.210718552610404,0.856653630503613
"159",4.56,0.15,0.658551113771642,0.91352092120753,0.210718552610404,0.858077854482773
"160",4.64,0.15,0.658551113771642,0.913825527974611,0.210718552610404,0.859448979721097
"161",4.72,0.15,0.658551113771642,0.914119277732899,0.210718552610404,0.860769890568132
"162",4.8,0.15,0.658551113771642,0.914402749373324,0.210718552610404,0.862043272798277
"163",4.88,0.15,0.658551113771642,0.914676482201169,0.210718552610404,0.863271629864038
"164",4.96,0.15,0.658551113771642,0.914940979200424,0.210718552610404,0.864457297719263
"165",5.04,0.15,0.658551113771642,0.915196709983817,0.210718552610404,0.865602458224927
"166",5.12,0.15,0.658551113771642,0.915444113463171,0.210718552610404,0.866709151311314
"167",5.2,0.15,0.658551113771642,0.915683600270333,0.210718552610404,0.867779286018883
"168",5.28,0.15,0.658551113771642,0.915915554955356,0.210718552610404,0.868814650550113
"169",5.36,0.15,0.658551113771642,0.91614033798546,0.210718552610404,0.869816921451542
"170",5.44,0.15,0.658551113771642,0.916358287564609,0.210718552610404,0.870787671880905
"171",5.52,0.15,0.658551113771642,0.916569721294016,0.210718552610404,0.871728379389646
"172",5.6,0.15,0.658551113771642,0.916774937686583,0.210718552610404,0.872640432754009
"173",5.68,0.15,0.658551113771642,0.91697421755273,0.210718552610404,0.873525138454606
"174",5.76,0.15,0.658551113771642,0.917167825268015,0.210718552610404,0.87438372646237
"175",5.84,0.15,0.658551113771642,0.917356009935629,0.210718552610404,0.875217355675922
"176",5.92,0.15,0.658551113771642,0.917539006452351,0.210718552610404,0.87602711880603
"177",6,0.15,0.658551113771642,0.917717036488186,0.210718552610404,0.876814046943229
"178",6.08,0.15,0.658551113771642,0.917890309386979,0.210718552610404,0.877579113720759
"179",6.16,0.15,0.658551113771642,0.918059022995617,0.210718552610404,0.878323239166287
"180",6.24,0.15,0.658551113771642,0.918223364428159,0.210718552610404,0.879047293251166
"181",6.32,0.15,0.658551113771642,0.918383510770829,0.210718552610404,0.879752099179936
"182",6.4,0.15,0.658551113771642,0.918539629732826,0.210718552610404,0.880438436400408
"183",6.48,0.15,0.658551113771642,0.918691880247906,0.210718552610404,0.881107043393967
"184",6.56,0.15,0.658551113771642,0.918840413031404,0.210718552610404,0.881758620328656
"185",6.64,0.15,0.658551113771642,0.918985371095307,0.210718552610404,0.882393831401749
