"","rhoB","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"38",2.96,0,0.912162251705555,0.823094883225293,616.983503196534,0.557252053600112,0.988441950826455,0.108306181790101,0.891926310883017
"39",3.04,0,0.912900854995819,0.826471413408947,618.355681111209,0.552426764368814,0.988587150292095,0.108294909538592,0.8949920628386
"40",3.12,0,0.913599070230455,0.829663062225018,619.663329291508,0.547687868733159,0.988723776148373,0.108279696017497,0.8978857603336
"41",3.2,0,0.914260052938147,0.832683931449708,620.910762776996,0.543034670696998,0.988852547348999,0.108261143343003,0.900620807071759
"42",3.28,0,0.914886645265905,0.835546776225468,622.101931425262,0.538466300177789,0.988974106321896,0.108239769734449,0.903209299844523
"43",3.36,0,0.915481413567248,0.838263158313538,623.240457148487,0.533981741565204,0.989089028839484,0.108216021248288,0.905662180445077
"44",3.44,0,0.916046680581162,0.840843579183283,624.329666610524,0.529579857946848,0.989197832326449,0.108190282319306,0.907989367229656
"45",3.52,0,0.916584553276568,0.843297596372343,625.372620662107,0.525259411728606,0.989300982855271,0.108162885845483,0.910199869666486
"46",3.6,0,0.917096947247215,0.845633924416977,626.372139650442,0.521019084351793,0.989398901503167,0.108134118435184,0.912301887388612
"47",3.68,0,0.917585607367666,0.847860523767059,627.330826255813,0.516857490928913,0.989491969366841,0.10810422878606,0.914302897380245
"48",3.76,0,0.918052126409983,0.849984678774978,628.251085964457,0.51277319510802,0.989580532254452,0.108073432008915,0.916209729963244
"49",3.84,0,0.918497961047473,0.852013066260565,629.135145067893,0.508764721201412,0.98966490462742,0.108041914185932,0.918028635578534
"50",3.92,0,0.918924445651894,0.85395181574458,629.985066260758,0.504830564271835,0.989745372982677,0.108009836400593,0.919765343475833
"51",4,0,0.919332804967507,0.855806563493222,630.802763855561,0.50096919969914,0.989822198863688,0.107977338382419,0.921425113845228
"52",4.08,0,0.919724164857881,0.857582499659861,631.590016202714,0.497179091065769,0.989895621498356,0.107944540939479,0.923012783531777
"53",4.16,0,0.920099561877341,0.859284410428069,632.348477217696,0.493458696870088,0.98996586007431,0.107911548582035,0.924532806734748
"54",4.24,0,0.920459952011346,0.860916715820497,633.079687267557,0.489806476829049,0.99003311579245,0.107878451621638,0.925989291265834
"55",4.32,0,0.920806218026613,0.862483502924082,633.78508210228,0.486220896571467,0.990097573611398,0.107845328083451,0.927386030640719
"56",4.4,0,0.921139176361217,0.863988556015823,634.466001664164,0.482700432277803,0.99015940384708,0.107812245271996,0.928726532872873
"57",4.48,0,0.921459583153576,0.865435383347466,635.123697725478,0.479243574522045,0.990218763589377,0.107779260952887,0.930014046120131
"58",4.56,0,0.921768139488978,0.866827241107309,635.759340649496,0.475848831122022,0.990275797904152,0.107746424789755,0.931251581670512
"59",4.64,0,0.922065496390244,0.86816715524642,636.374026066882,0.472514730158937,0.990330640971304,0.107713779291308,0.93244193464706
"60",4.72,0,0.922352259100994,0.869457940894844,636.968780516881,0.46923982216591,0.990383417069123,0.107681360677324,0.933587702534192
